identifiant;nom;nombre Velos Disponibles;nombre Places Disponibles;adresse;commune;etat;etatConnexion;type;geo
137;137 Heron Parc (CB);1;29;40, RUE DE LA VAGUE;VILLENEUVE D'ASCQ;EN SERVICE;CONNECTEE;AVEC TPE;50.615868, 3.126089
140;140 Rue Corneille;6;7;RUE CORNEILLE (DEVANT ÉCOLE DE MUSIQUE);VILLENEUVE D'ASCQ;EN SERVICE;CONNECTEE;SANS TPE;50.623795, 3.144815
143;143 Rond Point de Tournai;8;8;55, RUE DES FUSILLÉS;VILLENEUVE D'ASCQ;EN SERVICE;CONNECTEE;SANS TPE;50.61776, 3.146026
149;149 Jean Jaures (CB);17;0;FACE AU 780 AVENUE JEAN JAURES;RONCHIN;EN SERVICE;CONNECTEE;AVEC TPE;50.609592, 3.075483
154;154 Chaufferie (CB);16;0;FACE AU 125 RUE ROGER SALENGRO;LA MADELEINE;EN SERVICE;CONNECTEE;AVEC TPE;50.65532, 3.060615
17;17 Halle aux sucres (CB);10;9;33 AVENUE DU PEUPLE BELGE;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.644695, 3.060867
18;18 Voltaire;9;5;93 RUE ROYALE;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.6428, 3.055932
200;200 Mairie de Croix (CB);13;11;FACE AU 232, RUE JEAN JAURÈS;CROIX;EN SERVICE;CONNECTEE;AVEC TPE;50.679123, 3.155906
203;203 Victor Provo (CB);0;18;BOULEVARD DU GÉNÉRAL DE GAULLE;ROUBAIX;EN SERVICE;CONNECTEE;AVEC TPE;50.68079, 3.167454
204;204 Jean Moulin;5;10;FACE AU 49 BIS BD DU GÉNÉRAL DE GAULLE;ROUBAIX;EN SERVICE;CONNECTEE;SANS TPE;50.684757, 3.171974
214;214 Saint Jean-Baptiste (CB);8;4;1, RUE LESUEUR;ROUBAIX;EN SERVICE;CONNECTEE;AVEC TPE;50.6795, 3.179257
227;227 Bvrd Armentieres;7;11;1, BOULEVARD D'ARMENTIÈRES;ROUBAIX;EN SERVICE;CONNECTEE;SANS TPE;50.699436, 3.159658
232;232 Fosse aux Chenes (CB);4;10;13, PLACE DE LA FOSSE AUX CHÊNES;ROUBAIX;EN SERVICE;CONNECTEE;AVEC TPE;50.699734, 3.174347
24;24 Flandres Euralille (CB);1;39;PLACE DES BUISSES;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.63698, 3.071009
242;242 Tourcoing gare (CB);4;14;PLACE PIERRE SEMARD;TOURCOING;EN SERVICE;CONNECTEE;AVEC TPE;50.716843, 3.167834
244;244 F Roosevelt;7;5;2-14 BOULEVARD DE L'ÉGALITÉ;TOURCOING;EN SERVICE;CONNECTEE;SANS TPE;50.727448, 3.16646
251;251 Colbert;6;12;RUE DE GAND (FACE AU LYCÉE);TOURCOING;EN SERVICE;CONNECTEE;SANS TPE;50.72551, 3.156554
255;255 Rue de Roubaix;7;5;SECTEUR UNION;TOURCOING;EN SERVICE;CONNECTEE;SANS TPE;50.7134, 3.165011
259;259 Mercure;7;11;BOULEVARD GAMBETTA (FACE À LA STATION DE TAXI);TOURCOING;EN SERVICE;CONNECTEE;SANS TPE;50.704693, 3.160515
26;26 Molinel;1;21;58 RUE DU MOLINEL;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.63457, 3.068007
260;260 Place Roussel (CB);3;17;45, PLACE CHARLES ET ALBERT ROUSSEL;TOURCOING;EN SERVICE;CONNECTEE;AVEC TPE;50.72101, 3.157978
27;27 Tanneurs (CB);0;36;2 - 10 RUE DES TANNEURS;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.635014, 3.064802
28;28 Palais Rameau (CB);3;37;17 RUE SOLFERINO;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.634686, 3.048344
30;30 Rue de Gand (CB);5;15;8 PLACE DE GAND;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.64306, 3.067452
48;48 Porte de Douai (CB);7;19;PLACE FERNIG;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.61831, 3.0722
49;49 Place Deliot;7;17;1 PLACE DELIOT;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.61957, 3.068387
51;51 JB Lebas;29;3;2 RUE CAMBRAI;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.62482, 3.068689
55;55 Porte d'Arras (CB);7;17;3 PLACE JACQUES FEBVRIER;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.617847, 3.061758
